  ...2016 configs, entered_min delta/H^2=280.1239554776283
  ...4008 configs, entered_min delta/H^2=280.1239554776283
  ...4032 configs, entered_min delta/H^2=280.1239554776283
  ...6024 configs, entered_min delta/H^2=280.1239554776283
  ...6048 configs, entered_min delta/H^2=280.1239554776283
  ...8040 configs, entered_min delta/H^2=280.1239554776283
  ...8064 configs, entered_min delta/H^2=280.1239554776283
  ...10056 configs, entered_min delta/H^2=280.1239554776283
  ...10080 configs, entered_min delta/H^2=280.1239554776283
  ...12072 configs, entered_min delta/H^2=280.1239554776283
  ...12096 configs, entered_min delta/H^2=280.1239554776283
  ...14088 configs, entered_min delta/H^2=280.1239554776283
  ...22008 configs, entered_min delta/H^2=280.1239554776283
  ...24000 configs, entered_min delta/H^2=280.1239554776283
  ...24024 configs, entered_min delta/H^2=280.1239554776283
  ...26016 configs, entered_min delta/H^2=280.1239554776283
  ...26040 configs, entered_min delta/H^2=280.1239554776283
  ...28032 configs, entered_min delta/H^2=280.1239554776283
  ...28056 configs, entered_min delta/H^2=280.1239554776283
  ...30048 configs, entered_min delta/H^2=280.1239554776283
  ...30072 configs, entered_min delta/H^2=280.1239554776283
  ...32064 configs, entered_min delta/H^2=280.1239554776283
  ...32088 configs, entered_min delta/H^2=280.1239554776283
  ...34080 configs, entered_min delta/H^2=280.1239554776283
  ...36096 configs, entered_min delta/H^2=280.1239554776283

[d7-tradeoff] 36288 configs, 31 entered. min delta/H^2 (entered) = 280.1239554776283
  verdict: SUPPORTED: entered-region floor delta/H^2 >= 280.12
