k=3 n=5 edges=1 a=0.05 minor=1 delta=0.04950495 tax=0.0495 tax/delta=0.9999
k=4 n=10 edges=3 a=0.05 minor=1 delta=0.049627792 tax=0.0495 tax/delta=0.997425
k=5 n=13 edges=4 a=0.05 minor=1 delta=0.049751244 tax=0.0495 tax/delta=0.99495
k=6 n=16 edges=5 a=0.05 minor=1 delta=0.049751244 tax=0.0495 tax/delta=0.99495
k=8 n=22 edges=7 a=0.05 minor=1 delta=0.049751244 tax=0.0495 tax/delta=0.99495
k=10 n=28 edges=9 a=0.05 minor=1 delta=0.049751244 tax=0.0495 tax/delta=0.99495
k=4 n=10 edges=3 a=0.2 minor=1 delta=0.17857143 tax=0.198 tax/delta=1.1088
k=5 n=13 edges=4 a=0.2 minor=1 delta=0.18518519 tax=0.198 tax/delta=1.0692
k=6 n=16 edges=5 a=0.2 minor=1 delta=0.18518519 tax=0.198 tax/delta=1.0692
k=8 n=22 edges=7 a=0.2 minor=1 delta=0.18518519 tax=0.198 tax/delta=1.0692
k=10 n=28 edges=9 a=0.2 minor=1 delta=0.18518519 tax=0.198 tax/delta=1.0692
