n,k,a,eta,defect,ratio_sqrt,ratio_linear,rank,eig_cond,trial,seed
3,2,0.1,0.07668008795567141,0.06344718510797516,0.2291242507520251,0.827427130034773,2,2.166267083710277,0,20260602
3,2,0.03,0.02349707026650212,0.019306215909339883,0.12594771738578237,0.8216435364226322,2,2.219276047243203,0,20260602
3,2,0.01,0.007879313315481728,0.006464096431131376,0.0728221742446938,0.8203882968367748,2,2.2361376038342295,0,20260602
3,2,0.003,0.0023687244334425614,0.0019423214482837254,0.03990835584920582,0.8199862427479048,2,2.2422391976761866,0,20260602
3,2,0.1,0.0676044682371224,0.053132641815094694,0.20434956121776354,0.7859338768664249,2,1.8136409314569106,1,20260602
3,2,0.03,0.020856812702673602,0.016205966451961783,0.11221501322265261,0.7770106910862926,2,1.9108191664156757,1,20260602
3,2,0.01,0.007007077780085222,0.00542264273237216,0.06478023557493937,0.7738807677836579,2,1.939725580456814,1,20260602
3,2,0.003,0.002107878056340989,0.0016285907406965137,0.03547228947856827,0.7726209473063838,2,1.9499564227212742,1,20260602
3,2,0.1,0.1579965096314924,0.04496069671746396,0.1131121574667468,0.28456765799655515,2,2.1648139926185026,2,20260602
3,2,0.03,0.05132619060191292,0.013257894571439811,0.05852009802592526,0.2583066153159181,2,2.2483462080489676,2,20260602
3,2,0.01,0.017482752839920002,0.0043850413903279714,0.03316414368710447,0.2508209908633609,2,2.2739715886028153,2,20260602
3,2,0.003,0.005284098229100682,0.001311425869257294,0.018040904399478797,0.24818347661195728,2,2.2831240310785237,2,20260602
3,2,0.1,0.10251691544717689,0.06483982565245457,0.2025088806422334,0.6324792876338938,2,2.1439632387512155,3,20260602
3,2,0.03,0.03240539407778941,0.019198864128995997,0.10665147876555134,0.5924588999877295,2,2.2295378107578356,3,20260602
3,2,0.01,0.010958971306276068,0.006364902220086882,0.06080045668194971,0.5807937663311319,2,2.2544505252344105,3,20260602
3,2,0.003,0.003304194586319182,0.0019057129906000915,0.033153141464438686,0.5767556785216528,2,2.263217533030225,3,20260602
3,2,0.1,0.10768752286803776,0.054127127033267025,0.1649423898083343,0.5026313689060838,2,1.9606457968250435,4,20260602
3,2,0.03,0.035262726746752064,0.017006060273503914,0.09056195058951803,0.48226730722320804,2,2.1173602725811533,4,20260602
3,2,0.01,0.01203581080952126,0.0057246716214657154,0.05218106077373284,0.47563655760832135,2,2.164022364307107,4,20260602
3,2,0.003,0.003640307941719734,0.0017228459356631238,0.02855468549325134,0.4732692846993671,2,2.18055163705201,4,20260602
3,2,0.1,0.08969111424661362,0.07995201353694027,0.2669652264023861,0.8914150995727979,2,2.1593251672284235,5,20260602
3,2,0.03,0.027432500305926092,0.025033434214842457,0.15114289486687824,0.9125465756190886,2,2.2605596444514777,5,20260602
3,2,0.01,0.009194182581207898,0.008441310292686346,0.08803458125006985,0.9181142769493879,2,2.2915684621118917,5,20260602
3,2,0.003,0.0027635064346817097,0.0025292161948010316,0.048112255147632614,0.9152199405290464,2,2.3026588270919164,5,20260602
3,2,0.1,0.13654705503948963,0.03488486367283327,0.09440518793501144,0.25547869679609353,2,2.0227378051441485,6,20260602
3,2,0.03,0.04470887490152896,0.010590665409014738,0.0500871565058738,0.2368806066433257,2,2.1028125574319008,6,20260602
3,2,0.01,0.0152596019566698,0.003527399696891626,0.02855505957691288,0.23115935179094493,2,2.12538584796874,6,20260602
3,2,0.003,0.004615328170897689,0.0010598414729105434,0.015600539469710996,0.22963512748529047,2,2.133249718110813,6,20260602
3,2,0.1,0.12073640790294574,0.02975558809478971,0.08563462746762145,0.24645083129116127,2,1.8709093595640827,7,20260602
3,2,0.03,0.039805080404610414,0.009362352408507817,0.04692623721156559,0.2352049616114687,2,1.9410832039293386,7,20260602
3,2,0.01,0.013609708519034688,0.0031491261699278347,0.0269939008918811,0.23138821566409246,2,1.9616589064392769,7,20260602
3,2,0.003,0.00411875413604762,0.0009477246850320284,0.014767237465996164,0.2300998442071297,2,1.968915660321447,7,20260602
3,2,0.1,0.15283136458236696,0.004364053132227785,0.011163073495717723,0.028554695851556185,2,2.250780359820267,8,20260602
3,2,0.03,0.04893709107065662,0.0029986561646474195,0.013555252002712636,0.06127573378478674,2,2.213609075311998,8,20260602
3,2,0.01,0.016606428613642355,0.0011142599148433847,0.00864666007063859,0.06709810644824671,2,2.211296503197022,8,20260602
3,2,0.003,0.005012805401052165,0.0003641061857423416,0.005142657891560739,0.07263521254304374,2,2.211176329298292,8,20260602
3,2,0.1,0.1603604288154428,0.013233139044068275,0.03304564791147754,0.08252122510409449,2,2.443891647248506,9,20260602
3,2,0.03,0.051691207640743746,0.004042824831139984,0.01778183537533776,0.0782110733267793,2,2.562749295251515,9,20260602
3,2,0.01,0.017571648165591817,0.001357722649360596,0.010242472662366678,0.07726780302938462,2,2.5978104780324616,9,20260602
3,2,0.003,0.005307325239638572,0.0004084188364208528,0.005606191291059971,0.07695379837860965,2,2.610193678529885,9,20260602
3,2,0.1,0.12833442726158278,0.00954325249226251,0.02663942374115819,0.07436237255970757,2,2.1685999834021628,10,20260602
3,2,0.03,0.04122521512499873,0.002815339934993467,0.01386594187847082,0.06829169784698737,2,2.186883926846656,10,20260602
3,2,0.01,0.014001251417525666,0.0009305499365481398,0.007864230909093281,0.06646191178192476,2,2.193528743266472,10,20260602
3,2,0.003,0.004227624294722926,0.0002783488499179864,0.004280960678202962,0.06584048877414002,2,2.1959805135873838,10,20260602
3,2,0.1,0.13863782633274302,0.002290837815909624,0.006152526221690387,0.01652390171215907,2,2.2456221405420234,11,20260602
3,2,0.03,0.04160812246283872,0.001429800042247066,0.007009487184566909,0.03436348380112698,2,2.245084638301729,11,20260602
3,2,0.01,0.01387097173170959,0.000551944007663509,0.004686424009608447,0.039791300735026604,2,2.248020605837195,11,20260602
3,2,0.003,0.0041614592651430865,0.00017353616006184893,0.0026900921638903443,0.04170079508296764,2,2.2493305211115966,11,20260602
3,2,0.1,0.16099500267905256,0.01748117843950371,0.043567687415584665,0.10858211838011435,2,2.4815896733085383,12,20260602
3,2,0.03,0.051892917056082274,0.004841804825933333,0.02125461471080109,0.09330377054542233,2,2.6386843071097776,12,20260602
3,2,0.01,0.017639964376062325,0.0015798033028519445,0.011894718420371635,0.0895581912283088,2,2.685634985857827,12,20260602
