n,k,a,eta,defect,ratio_sqrt,ratio_linear,rank,eig_cond,trial,seed
3,2,0.003,0.0023687244334425614,0.0016109087484329834,0.03309890833459575,0.6800743580340352,2,2.2422391976761866,0,20260602
3,2,0.003,0.002853873671453058,0.0010472574102327146,0.019603610706919548,0.3669599746857402,2,2.200281637582416,1,20260602
3,2,0.003,0.0037259824287143232,0.00024871417604635943,0.004074554567490885,0.06675130138286241,2,2.0393676915171106,2,20260602
3,2,0.003,0.003619548015350955,0.0006095105631959728,0.010131040827269577,0.16839410904647828,2,2.057495381179309,3,20260602
3,2,0.003,0.004425927444427459,0.0006447746718594874,0.009691830809500887,0.14568125663047238,2,2.364603632215147,4,20260602
3,2,0.003,0.002524392294650831,0.001805662219910878,0.03593834623328735,0.7152859021702226,2,2.0380740174646927,5,20260602
3,2,0.003,0.0036406550274601934,0.000744680016597352,0.01234184066300212,0.20454561362735274,2,2.1508790677864944,6,20260602
3,2,0.003,0.004432634695553122,0.0009457891987287572,0.014205724214397537,0.21336953385253823,2,2.0445837848927852,7,20260602
3,2,0.003,0.0030919718180929885,0.0013903537521483293,0.025003888282904597,0.44966572593337767,2,2.0412400043478964,8,20260602
3,2,0.003,0.004854365892292502,0.000824417789066459,0.011832624983688199,0.16983017089326222,2,2.0230729745342337,9,20260602
3,2,0.003,0.00468225898471506,0.0018659709498538692,0.027269499205829537,0.3985193804839104,2,2.0968218399032272,10,20260602
3,2,0.003,0.0035675726956319416,0.0005934407037323253,0.00993552716927548,0.1663429884579286,2,2.141124417127216,11,20260602
3,2,0.003,0.000652336895200588,0.00031268046897046584,0.012242349774969363,0.4793235999235016,2,1.951448876249799,12,20260602
3,2,0.003,0.0020485500676818372,0.0007499830743404453,0.016570216047289487,0.3661043418817363,2,1.9352598314251797,13,20260602
3,2,0.003,0.0032666829949707776,0.0020188562783367654,0.03532253847766415,0.6180141389430489,2,2.0398318779952627,14,20260602
3,2,0.003,0.003595059885586413,0.00021891638356812322,0.0036511123796003644,0.0608936681265921,2,2.0944214208592054,15,20260602
3,2,0.003,0.0043833523403525925,0.00025790073057205563,0.0038953759782212024,0.05883641344499136,2,1.9652813335905048,16,20260602
