family,n,rank,seed,s,power,amp,delta,tau,rho_mult,kappa_mult,vertices,W,max_distance,ratio,idempotence_linf_l1,row_sum_linf
hume,3,,,0.05,,,0.0025,0.05,0.5,0.1,2,2,0,0,2.08166817117e-16,0
hume,3,,,0.05,,,0.0025,0.05,0.5,0.25,2,2,0,0,2.08166817117e-16,0
hume,3,,,0.05,,,0.0025,0.05,0.5,0.5,2,2,0,0,2.08166817117e-16,0
hume,3,,,0.05,,,0.0025,0.05,0.5,1,2,2,0,0,2.08166817117e-16,0
hume,3,,,0.05,,,0.0025,0.05,1,0.1,2,2,0,0,2.08166817117e-16,0
hume,3,,,0.05,,,0.0025,0.05,1,0.25,2,2,0,0,2.08166817117e-16,0
hume,3,,,0.05,,,0.0025,0.05,1,0.5,2,2,0,0,2.08166817117e-16,0
hume,3,,,0.05,,,0.0025,0.05,1,1,2,2,0,0,2.08166817117e-16,0
hume,3,,,0.05,,,0.0025,0.05,2,0.1,2,2,0,0,2.08166817117e-16,0
hume,3,,,0.05,,,0.0025,0.05,2,0.25,2,2,0,0,2.08166817117e-16,0
hume,3,,,0.05,,,0.0025,0.05,2,0.5,2,2,0,0,2.08166817117e-16,0
hume,3,,,0.05,,,0.0025,0.05,2,1,2,2,0,0,2.08166817117e-16,0
hume,3,,,0.05,,,0.0025,0.05,4,0.1,2,2,0,0,2.08166817117e-16,0
hume,3,,,0.05,,,0.0025,0.05,4,0.25,2,2,0,0,2.08166817117e-16,0
hume,3,,,0.05,,,0.0025,0.05,4,0.5,2,2,0,0,2.08166817117e-16,0
hume,3,,,0.05,,,0.0025,0.05,4,1,2,2,0,0,2.08166817117e-16,0
hume,3,,,0.05,,,0.0025,0.05,8,0.1,2,2,0,0,2.08166817117e-16,0
hume,3,,,0.05,,,0.0025,0.05,8,0.25,2,2,0,0,2.08166817117e-16,0
hume,3,,,0.05,,,0.0025,0.05,8,0.5,2,2,0,0,2.08166817117e-16,0
hume,3,,,0.05,,,0.0025,0.05,8,1,2,2,0,0,2.08166817117e-16,0
