family,n,rank,seed,s,power,amp,delta,tau,rho_mult,kappa_mult,vertices,W,max_distance,ratio,idempotence_linf_l1,row_sum_linf
regular_polygon_projection,12,,,,,,0.205341801261,0.453146556052,0.25,0.1,12,12,0,0,2.38420595426e-16,2.22044604925e-16
regular_polygon_projection,12,,,,,,0.205341801261,0.453146556052,0.25,0.25,12,0,inf,inf,2.38420595426e-16,2.22044604925e-16
regular_polygon_projection,12,,,,,,0.205341801261,0.453146556052,0.25,0.5,12,0,inf,inf,2.38420595426e-16,2.22044604925e-16
regular_polygon_projection,12,,,,,,0.205341801261,0.453146556052,0.25,1,12,0,inf,inf,2.38420595426e-16,2.22044604925e-16
regular_polygon_projection,12,,,,,,0.205341801261,0.453146556052,0.5,0.1,12,12,0,0,2.38420595426e-16,2.22044604925e-16
regular_polygon_projection,12,,,,,,0.205341801261,0.453146556052,0.5,0.25,12,0,inf,inf,2.38420595426e-16,2.22044604925e-16
regular_polygon_projection,12,,,,,,0.205341801261,0.453146556052,0.5,0.5,12,0,inf,inf,2.38420595426e-16,2.22044604925e-16
regular_polygon_projection,12,,,,,,0.205341801261,0.453146556052,0.5,1,12,0,inf,inf,2.38420595426e-16,2.22044604925e-16
regular_polygon_projection,12,,,,,,0.205341801261,0.453146556052,1,0.1,12,12,0,0,2.38420595426e-16,2.22044604925e-16
regular_polygon_projection,12,,,,,,0.205341801261,0.453146556052,1,0.25,12,0,inf,inf,2.38420595426e-16,2.22044604925e-16
regular_polygon_projection,12,,,,,,0.205341801261,0.453146556052,1,0.5,12,0,inf,inf,2.38420595426e-16,2.22044604925e-16
regular_polygon_projection,12,,,,,,0.205341801261,0.453146556052,1,1,12,0,inf,inf,2.38420595426e-16,2.22044604925e-16
regular_polygon_projection,12,,,,,,0.205341801261,0.453146556052,2,0.1,12,12,0,0,2.38420595426e-16,2.22044604925e-16
regular_polygon_projection,12,,,,,,0.205341801261,0.453146556052,2,0.25,12,12,0,0,2.38420595426e-16,2.22044604925e-16
regular_polygon_projection,12,,,,,,0.205341801261,0.453146556052,2,0.5,12,12,0,0,2.38420595426e-16,2.22044604925e-16
regular_polygon_projection,12,,,,,,0.205341801261,0.453146556052,2,1,12,0,inf,inf,2.38420595426e-16,2.22044604925e-16
regular_polygon_projection,12,,,,,,0.205341801261,0.453146556052,4,0.1,12,12,0,0,2.38420595426e-16,2.22044604925e-16
regular_polygon_projection,12,,,,,,0.205341801261,0.453146556052,4,0.25,12,12,0,0,2.38420595426e-16,2.22044604925e-16
regular_polygon_projection,12,,,,,,0.205341801261,0.453146556052,4,0.5,12,12,0,0,2.38420595426e-16,2.22044604925e-16
regular_polygon_projection,12,,,,,,0.205341801261,0.453146556052,4,1,12,12,0,0,2.38420595426e-16,2.22044604925e-16
