family,n,rank,target_delta,delta,seed,score,empty_w_count,rho_mult,kappa_mult,vertices,W,max_distance,ratio,idempotence_linf_l1,row_sum_linf,BA_error_linf
direct_free_left_inverse,7,3,0.01,0.009999968769658748,2026264742,0.004454078789224399,0,0.5,0.5,5,4,0.00044540718340989414,0.004454078789224399,1.8545278160364553e-16,2.220446049250313e-16,2.220446049250313e-16
direct_free_left_inverse,6,3,0.01,0.009999985179063146,2026263771,0.0039565010964176745,0,0.5,0.25,5,4,0.0003956498164463943,0.0039565010964176745,4.3937293039975067e-16,2.220446049250313e-16,2.220446049250313e-16
direct_free_left_inverse,8,4,0.001,0.0009999454327053981,2026166765,0.0004450707017614228,0,0.5,0.5,8,7,1.4073987368332955e-05,0.0004450707017614228,3.458943743407661e-16,2.220446049250313e-16,1.1102230246251565e-16
direct_free_left_inverse,8,3,0.01,0.009999997829783294,2026265769,0.00036708742992875036,0,0.5,0.5,5,4,3.6708739009578455e-05,0.00036708742992875036,1.947227101783966e-16,2.220446049250313e-16,1.981921571303502e-16
direct_free_left_inverse,8,3,0.01,0.009999984701826638,2026265746,0.0003122616150408398,0,0.5,0.5,6,5,3.122613761891324e-05,0.0003122616150408398,2.1868357819032624e-16,2.220446049250313e-16,1.1102230246251565e-16
direct_free_left_inverse,8,3,0.01,0.009999981522437699,2026265757,0.0002204986016759844,0,0.5,0.25,5,4,2.204983979620578e-05,0.0002204986016759844,3.307494252438592e-16,2.220446049250313e-16,1.6653345369377348e-16
direct_free_left_inverse,7,3,0.01,0.009999997078054929,2026264754,0.00015837063573243543,0,0.5,0.1,4,3,1.5837061259491882e-05,0.00015837063573243543,4.562322741819003e-16,4.440892098500626e-16,2.220446049250313e-16
direct_free_left_inverse,5,2,0.0001,9.998679161069415e-05,2026060744,0.0,0,0.5,0.1,2,2,0.0,0.0,1.7285570761207958e-16,2.220446049250313e-16,1.1102230246251565e-16
direct_free_left_inverse,5,2,0.0001,9.998679161077145e-05,2026060748,0.0,0,0.5,0.1,2,2,0.0,0.0,1.72840461019029e-16,2.220446049250313e-16,1.1102230246251565e-16
direct_free_left_inverse,5,2,0.0001,9.998679161069858e-05,2026060752,0.0,0,0.5,0.1,2,2,0.0,0.0,1.728421550849235e-16,2.220446049250313e-16,1.1102230246251565e-16
direct_free_left_inverse,5,2,0.0001,9.999612734461777e-05,2026060756,0.0,0,0.5,0.1,2,2,0.0,0.0,1.7284893134850154e-16,2.220446049250313e-16,2.220446049250313e-16
direct_free_left_inverse,5,2,0.0001,9.998679161078192e-05,2026060760,0.0,0,0.5,0.1,2,2,0.0,0.0,1.7338764430295528e-17,2.220446049250313e-16,1.1102230246251565e-16
direct_free_left_inverse,5,2,0.0001,9.999610724804124e-05,2026060764,0.0,0,0.5,0.1,2,2,0.0,0.0,1.1734455638082175e-16,2.220446049250313e-16,1.1102230246251565e-16
direct_free_left_inverse,5,2,0.0001,9.998679161077301e-05,2026060768,0.0,0,0.5,0.1,2,2,0.0,0.0,1.1733100385366568e-16,0.0,2.220446049250313e-16
direct_free_left_inverse,5,2,0.0001,9.99867916107766e-05,2026060772,0.0,0,0.5,0.1,2,2,0.0,0.0,1.7333682232612002e-17,2.220446049250313e-16,1.1102230246251565e-16
direct_free_left_inverse,5,2,0.0001,9.998679161075487e-05,2026060776,0.0,0,0.5,0.1,2,2,0.0,0.0,2.283482241184978e-16,2.220446049250313e-16,2.220446049250313e-16
direct_free_left_inverse,5,2,0.0001,9.999756336548898e-05,2026060780,0.0,0,0.5,0.1,2,2,0.0,0.0,1.1732422759008765e-16,2.220446049250313e-16,2.220446049250313e-16
direct_free_left_inverse,5,3,0.0001,9.997161804204309e-05,2026061744,0.0,0,0.5,0.1,3,3,0.0,0.0,1.239852288493301e-16,0.0,1.1102230246251565e-16
direct_free_left_inverse,5,3,0.0001,9.996896135032044e-05,2026061748,0.0,0,0.5,0.1,3,3,0.0,0.0,1.307600768168612e-16,2.220446049250313e-16,1.1102230246251565e-16
direct_free_left_inverse,5,3,0.0001,9.999472384293143e-05,2026061752,0.0,0,0.5,0.1,3,3,0.0,0.0,1.1705513452626969e-16,2.220446049250313e-16,1.1102230246251565e-16
